NDVI,NDRE,RGB_Damage_Score,N,P,K,Moisture,pH,Temperature,Humidity,Energy_Consumed_mAh,Latency_ms,Cluster_KMeans,Cluster_Agglomerative,Zone_ID,Image_Type,Action_Suggested,PCA1,PCA2,Cluster_Birch
0.77,0.26,0.5,67,29,54,33.59,6.49,34.04,33.18,6.49,95.42,0,1.0,Z10,Multispectral,Apply Fertilizer,0.0063186394604762,0.4369384941800147,0
0.6,0.51,0.5,63,33,30,25.97,7.15,26.24,72.72,5.1,99.87,0,0.0,Z8,Multispectral,Irrigate,0.1054272288359838,0.2113341600259418,0
0.59,0.54,0.5,52,18,91,19.41,5.31,33.54,69.08,4.73,37.71,1,0.0,Z4,Multispectral,Monitor,-0.0778633888764929,0.1641904663895412,1
0.58,0.35,0.74,39,33,51,16.8,7.72,35.68,76.2,1.14,37.67,0,0.0,Z8,RGB,Apply Fertilizer,0.2867964203777726,-0.0866587533070905,1
0.58,0.35,0.46,44,29,50,15.58,7.03,36.35,83.24,3.28,40.08,0,0.0,Z4,RGB,Monitor,0.1664434141308908,-0.0358474129208655,1
0.58,0.35,0.61,57,43,58,29.22,5.08,20.2,27.21,5.95,48.03,0,1.0,Z1,RGB,Apply Fertilizer,0.3429549396468991,0.3231282465498512,1
0.72,0.32,0.5,42,15,61,35.98,7.05,27.51,80.77,1.28,40.79,1,0.0,Z8,Multispectral,Irrigate,-0.2195663440249188,0.0285054951501438,1
0.37,0.41,0.5,30,6,84,22.86,6.33,33.53,94.91,3.98,49.52,1,0.0,Z8,Multispectral,Apply Fertilizer,-0.3229561149472041,-0.2632634252423337,1
0.58,0.35,0.47,64,39,65,23.95,5.05,40.78,39.47,5.52,64.46,0,1.0,Z4,RGB,Irrigate,0.3082232760339464,0.4423223784082948,0
0.58,0.35,0.31,48,42,49,34.45,7.12,21.18,63.07,6.51,62.83,0,0.0,Z2,RGB,Monitor,0.3724735939840807,0.1100090760298834,0
0.58,0.35,0.33,39,32,65,26.23,5.51,30.68,89.98,9.15,43.72,0,0.0,Z5,RGB,Apply Fertilizer,0.210435204012365,-0.0644979542389486,1
0.87,0.54,0.5,58,12,45,24.07,6.61,32.83,30.06,2.57,35.22,1,1.0,Z8,Multispectral,Monitor,-0.3742149283003818,0.2734523312545526,1
0.47,0.1,0.5,49,35,51,16.96,6.28,41.65,32.28,6.37,22.8,0,0.0,Z4,Multispectral,Apply Fertilizer,0.2541021355030108,0.1769439747812855,1
0.27,0.49,0.5,23,20,84,19.21,7.43,31.6,92.62,2.35,18.75,1,1.0,Z3,Multispectral,Apply Fertilizer,0.0799274807744044,-0.3354239626448321,1
0.84,0.3,0.5,63,35,38,11.36,5.31,20.19,85.3,5.95,33.87,0,0.0,Z5,Multispectral,Apply Fertilizer,0.190411040709553,0.1931887555814692,1
0.58,0.35,0.83,52,28,44,32.53,6.29,40.09,25.91,4.68,91.28,0,1.0,Z9,RGB,Apply Pesticide,-0.0138991342995689,0.22263610952585,0
0.56,0.23,0.5,32,33,43,28.58,5.05,38.8,61.43,5.63,61.21,0,0.0,Z7,Multispectral,Apply Pesticide,0.1549155405040702,-0.1144229011987492,0
0.43,0.5,0.5,71,9,37,8.61,6.7,41.73,49.17,2.49,83.94,1,1.0,Z7,Multispectral,Monitor,-0.430012205990858,0.3026576539911156,0
0.71,0.48,0.5,40,32,63,28.51,6.42,23.03,53.68,7.55,87.22,0,0.0,Z1,Multispectral,Apply Pesticide,0.1621705789164591,-0.0800532369508309,0
0.6,0.53,0.5,66,26,71,30.74,6.58,38.9,81.85,7.47,79.85,0,1.0,Z6,Multispectral,Irrigate,0.0480986360441851,0.3811258333325511,0
0.58,0.35,0.51,42,34,26,11.43,5.4,29.66,70.86,7.17,62.91,0,0.0,Z9,RGB,Apply Fertilizer,0.1635734895610897,-0.1514826883606584,0
0.58,0.35,0.79,74,41,45,27.54,5.42,30.84,89.79,6.97,20.88,0,0.0,Z2,RGB,Apply Fertilizer,0.3271168492863472,0.5495084542891289,1
0.58,0.35,0.37,40,42,35,25.73,5.54,38.72,87.7,8.18,59.04,0,0.0,Z10,RGB,Irrigate,0.384766979268457,-0.0436076160146887,0
0.58,0.39,0.5,60,22,47,31.88,5.54,31.94,50.08,3.77,97.99,1,0.0,Z7,Multispectral,Monitor,-0.1811471182120964,0.2788642285737865,0
0.6,0.52,0.5,37,7,81,22.66,7.52,41.41,87.19,3.22,90.96,1,1.0,Z7,Multispectral,Monitor,-0.2922676965038264,-0.1800656727564258,0
0.65,0.51,0.5,24,14,28,31.93,7.39,23.24,36.96,8.28,38.1,1,1.0,Z10,Multispectral,Irrigate,-0.3347007979228516,-0.3240067125715539,1
0.58,0.35,0.87,32,32,81,17.39,6.94,28.72,45.2,3.33,29.77,0,1.0,Z1,RGB,Monitor,0.2954559866777413,-0.1406406686944096,1
0.4,0.46,0.5,74,33,26,8.63,7.7,30.1,31.31,7.91,98.91,0,0.0,Z10,Multispectral,Irrigate,0.1076260239424725,0.3155290150329919,0
0.58,0.35,0.57,26,8,77,14.72,7.83,20.36,72.09,8.94,90.05,1,0.0,Z7,RGB,Irrigate,-0.2875302641629115,-0.5076120230698258,0
0.58,0.35,0.45,68,25,46,29.25,7.0,37.26,33.09,8.98,84.13,1,1.0,Z9,RGB,Apply Pesticide,-0.0827094011944126,0.4134201048682462,0
0.34,0.39,0.5,55,24,40,31.49,7.5,36.14,26.51,8.96,69.42,1,1.0,Z8,Multispectral,Monitor,-0.098083635255362,0.2282000034328397,0
0.58,0.35,0.08,50,25,77,14.9,5.63,26.05,48.71,1.97,30.56,0,0.0,Z3,RGB,Apply Pesticide,0.0512876051534219,0.1233165769870842,1
0.77,0.13,0.5,26,44,47,28.0,5.83,34.52,70.43,6.62,23.81,0,0.0,Z3,Multispectral,Monitor,0.4806068929917636,-0.1766558790021128,1
0.58,0.35,0.24,42,7,72,37.54,5.0,32.83,39.83,3.82,53.95,1,1.0,Z3,RGB,Irrigate,-0.4773837554733167,0.1048646525465962,1
0.58,0.35,0.21,19,7,51,37.91,5.23,22.81,47.44,7.62,52.23,1,0.0,Z4,RGB,Monitor,-0.5068118927217091,-0.3561264008466995,1
0.45,0.21,0.5,36,29,94,37.26,7.69,20.01,30.38,4.77,62.93,0,1.0,Z4,Multispectral,Apply Fertilizer,0.1709682341222054,-0.0046953387834925,0
0.34,0.11,0.5,16,37,29,30.76,6.71,30.97,87.3,1.57,58.26,0,0.0,Z6,Multispectral,Monitor,0.2900019149098758,-0.4243384943575281,1
0.58,0.35,0.12,50,19,50,26.09,6.03,23.76,83.04,7.12,94.81,1,0.0,Z3,RGB,Irrigate,-0.1919343895168406,-0.0187810886948643,0
0.81,0.17,0.5,15,11,28,12.8,6.12,41.01,60.31,7.05,49.92,1,0.0,Z8,Multispectral,Apply Pesticide,-0.3262803556434831,-0.5637626680249133,0
0.52,0.49,0.5,24,28,76,14.11,6.91,36.56,36.35,1.2,97.09,0,1.0,Z1,Multispectral,Apply Fertilizer,0.1886860351289396,-0.3435907713196067,0
0.42,0.29,0.5,71,12,71,13.86,7.26,29.46,64.66,2.41,63.14,1,0.0,Z1,Multispectral,Irrigate,-0.2661219189322647,0.3383795195461606,0
0.58,0.35,0.68,37,33,79,27.49,5.67,24.52,91.88,9.38,42.83,0,0.0,Z5,RGB,Irrigate,0.2690866463895175,-0.1004616134523634,1
0.88,0.19,0.5,52,16,37,15.07,5.08,34.64,56.5,9.76,38.52,1,0.0,Z6,Multispectral,Irrigate,-0.2842848414217878,0.0660216299860775,1
0.81,0.47,0.5,67,13,71,34.92,5.47,35.0,77.48,4.13,23.97,1,0.0,Z8,Multispectral,Monitor,-0.3046335130806618,0.4921374410023045,1
0.63,0.5,0.5,43,21,79,19.56,5.57,25.85,49.6,8.49,30.96,1,0.0,Z7,Multispectral,Apply Pesticide,-0.0475848820723296,-0.0031220210331814,1
0.58,0.35,0.58,21,41,20,14.0,7.3,34.03,76.93,2.56,67.54,0,0.0,Z5,RGB,Monitor,0.4117089833261202,-0.4606452902017476,0
0.58,0.35,0.34,32,22,54,20.38,5.42,28.44,60.62,2.0,36.7,1,0.0,Z9,RGB,Apply Pesticide,-0.0633569698122219,-0.1766751594907222,1
0.9,0.18,0.5,35,26,70,20.76,6.12,20.73,54.53,8.33,11.09,0,0.0,Z2,Multispectral,Irrigate,0.0750129211655037,-0.1270372418415279,1
0.76,0.53,0.5,15,31,61,13.29,6.49,25.28,77.1,8.45,54.56,0,0.0,Z5,Multispectral,Apply Pesticide,0.2518067937571193,-0.5768384867561014,0
0.58,0.35,0.5,50,14,66,28.73,7.46,25.58,27.04,9.91,65.34,1,0.0,Z5,RGB,Apply Pesticide,-0.2784568816759598,0.092798612536767,0
0.58,0.35,0.77,29,13,28,24.09,7.33,26.79,78.62,1.19,94.76,1,1.0,Z3,RGB,Irrigate,-0.3185198512596642,-0.3833756099301638,0
0.58,0.35,0.23,21,31,82,34.69,7.15,27.74,75.97,4.71,33.82,0,1.0,Z3,RGB,Irrigate,0.2690211609443171,-0.2562686662846769,1
0.58,0.35,0.57,71,19,28,23.59,7.09,32.17,91.46,5.07,55.26,1,0.0,Z6,RGB,Monitor,-0.2122118228878841,0.3468918309178983,0
0.33,0.32,0.5,61,37,90,36.08,6.44,24.57,34.17,6.58,53.78,0,1.0,Z3,Multispectral,Monitor,0.3026826437492477,0.4368983788862388,0
0.27,0.57,0.5,71,42,25,19.22,6.6,21.01,55.03,3.21,48.1,0,0.0,Z4,Multispectral,Apply Pesticide,0.300927574549799,0.4009780216622584,1
0.58,0.35,0.02,29,34,86,23.59,7.33,25.69,51.08,8.34,96.23,0,1.0,Z5,RGB,Monitor,0.3256519359827536,-0.270915763314933,0
0.4,0.57,0.5,28,32,72,30.14,7.12,18.84,80.76,3.87,14.49,0,1.0,Z4,Multispectral,Monitor,0.2645054538586757,-0.1957000994798636,1
0.81,0.35,0.5,26,14,30,29.43,7.71,21.86,67.96,5.62,70.29,1,1.0,Z3,Multispectral,Apply Pesticide,-0.3030745304674013,-0.3878381541578993,0
0.62,0.4,0.5,30,11,63,30.11,6.08,32.01,72.46,5.76,28.38,1,1.0,Z2,Multispectral,Monitor,-0.2998120251766423,-0.1780521815060849,1
0.81,0.12,0.5,42,22,52,9.85,6.1,26.37,86.2,6.34,31.14,1,0.0,Z2,Multispectral,Monitor,-0.0225466928110575,-0.15678553269272,1
0.58,0.35,0.65,73,32,24,14.4,6.59,27.55,66.69,7.46,67.6,0,0.0,Z1,RGB,Apply Pesticide,0.0717491367485335,0.3351767585546289,1
0.65,0.27,0.5,44,23,52,20.16,5.05,33.54,34.45,6.47,11.51,1,1.0,Z8,Multispectral,Apply Pesticide,-0.080592398683481,0.0856429964403809,1
0.8,0.19,0.5,29,14,25,30.48,6.58,29.26,37.54,9.61,69.81,1,1.0,Z7,Multispectral,Irrigate,-0.3702698938288548,-0.273195830045863,1
0.58,0.35,0.89,38,9,86,17.23,7.33,24.05,94.88,7.1,22.12,1,1.0,Z10,RGB,Apply Fertilizer,-0.2246040917052779,-0.1943387686478801,1
0.78,0.39,0.5,60,29,92,10.71,5.99,40.39,61.4,2.91,99.42,0,1.0,Z9,Multispectral,Irrigate,0.2102853631208351,0.2148612759038788,0
0.58,0.35,0.22,62,26,84,37.42,6.37,33.76,44.4,5.3,33.32,0,0.0,Z3,RGB,Apply Fertilizer,0.0398861543050799,0.4871296057412053,1
0.76,0.53,0.5,39,32,66,22.07,7.22,21.57,47.63,7.6,35.87,0,0.0,Z5,Multispectral,Irrigate,0.2203119834973927,-0.0755536092435244,1
0.74,0.16,0.5,35,7,61,11.47,7.7,32.79,68.61,8.63,19.67,1,1.0,Z9,Multispectral,Apply Pesticide,-0.3220426272966747,-0.2528721363579053,1
0.58,0.35,0.92,20,24,28,34.91,5.85,22.2,82.22,9.38,87.23,1,0.0,Z2,RGB,Monitor,-0.1081956324758031,-0.4633326938656198,0
0.41,0.18,0.5,56,26,64,25.99,5.99,24.35,51.18,5.74,50.28,0,0.0,Z10,Multispectral,Apply Pesticide,-0.0005976913902661,0.221714603242772,1
0.4,0.38,0.5,60,37,83,10.97,6.54,22.72,74.91,8.31,63.61,0,0.0,Z9,Multispectral,Monitor,0.3846572069477766,0.1539814108075869,0
0.78,0.55,0.5,45,8,56,24.15,6.24,25.95,58.7,7.11,16.4,1,0.0,Z5,Multispectral,Irrigate,-0.4162919181053637,0.0091286260488923,1
0.58,0.35,0.07,71,41,48,8.97,7.71,24.39,43.21,6.46,23.24,0,0.0,Z7,RGB,Apply Pesticide,0.3944937861624388,0.3887681814178266,1
0.65,0.5,0.5,38,5,67,17.27,7.15,24.36,55.19,4.86,83.42,1,1.0,Z10,Multispectral,Apply Pesticide,-0.4343410065717742,-0.2384714849867,0
0.4,0.43,0.5,32,25,85,8.22,7.53,23.12,74.34,5.2,10.56,0,0.0,Z4,Multispectral,Apply Pesticide,0.1931634251009811,-0.2658713616871473,1
0.58,0.35,0.58,25,41,42,10.99,6.44,26.69,54.36,3.88,35.47,0,0.0,Z7,RGB,Monitor,0.4284454027808898,-0.342340436376035,1
0.58,0.35,0.78,71,11,29,36.72,6.55,21.48,55.53,3.72,36.76,1,0.0,Z3,RGB,Apply Pesticide,-0.50013798047011,0.4634428827764389,1
0.58,0.35,0.28,53,18,27,24.69,5.48,38.09,90.86,8.67,74.93,1,0.0,Z3,RGB,Apply Pesticide,-0.2551279850541056,0.0616832443307274,0
0.67,0.12,0.5,66,25,48,8.85,7.21,35.1,57.1,1.8,83.54,0,0.0,Z3,Multispectral,Apply Pesticide,0.009214044573545,0.2370385782481181,0
0.58,0.35,0.7,60,6,82,36.12,7.51,37.35,56.04,1.94,13.98,1,0.0,Z6,RGB,Apply Fertilizer,-0.3962189461094914,0.4189858162131806,1
0.41,0.25,0.5,15,27,68,19.32,6.83,25.93,58.64,5.88,29.47,0,0.0,Z10,Multispectral,Monitor,0.1585764637721635,-0.465581875570804,1
0.52,0.15,0.5,35,16,81,31.05,5.24,21.9,56.32,7.83,12.37,1,0.0,Z8,Multispectral,Apply Fertilizer,-0.1893811879233817,-0.0532103527247912,1
0.58,0.35,0.84,29,32,31,25.21,7.18,20.1,92.51,5.23,71.4,0,0.0,Z10,RGB,Monitor,0.1576424642613743,-0.3578761679854594,0
0.62,0.52,0.5,67,30,48,36.89,7.96,36.66,71.65,9.88,11.55,0,0.0,Z5,Multispectral,Apply Pesticide,0.1096674895811076,0.4914151807715592,1
0.58,0.35,0.66,63,23,94,37.32,6.72,29.73,34.19,3.51,61.72,1,1.0,Z3,RGB,Apply Fertilizer,-0.0224118658275479,0.4678771360036129,0
0.58,0.35,0.46,73,43,65,28.27,6.1,32.56,63.09,9.24,53.42,0,1.0,Z1,RGB,Monitor,0.4138428284655708,0.5460577956165442,1
0.58,0.35,0.15,56,21,69,26.52,5.23,41.73,55.63,8.46,84.6,1,1.0,Z9,RGB,Irrigate,-0.1102126258855664,0.2309313277545756,0
0.58,0.35,0.7,27,15,76,34.78,7.52,35.65,25.15,4.04,84.41,1,1.0,Z9,RGB,Apply Pesticide,-0.1885014590250339,-0.1789113734757296,0
0.52,0.45,0.5,16,38,73,9.77,5.36,22.7,28.21,6.7,89.74,0,1.0,Z10,Multispectral,Apply Pesticide,0.3784275722826604,-0.5225921772710141,0
0.38,0.51,0.5,57,17,48,18.53,5.72,18.47,72.51,6.62,69.04,1,1.0,Z5,Multispectral,Monitor,-0.2523175998960915,0.0674207391997362,0
0.63,0.4,0.5,25,18,71,23.25,7.67,23.45,74.71,5.58,96.85,1,1.0,Z6,Multispectral,Irrigate,-0.0743731771851397,-0.4285885056344135,0
0.29,0.26,0.5,49,22,78,21.35,6.9,24.4,88.47,3.04,54.43,1,0.0,Z2,Multispectral,Apply Fertilizer,0.0200899300045775,0.0295416746446475,1
0.36,0.49,0.5,73,16,92,14.37,7.57,19.84,92.9,8.4,29.87,1,0.0,Z8,Multispectral,Apply Fertilizer,-0.0915766656109342,0.3426729954784486,1
0.58,0.35,0.05,19,9,32,27.08,6.85,28.23,79.23,2.49,94.25,1,1.0,Z5,RGB,Apply Pesticide,-0.4112822779260046,-0.5196987232628764,0
0.58,0.35,0.4,41,33,28,37.02,6.68,18.91,41.6,9.45,13.79,0,0.0,Z4,RGB,Apply Fertilizer,0.077646315098996,0.0458735851731089,1
0.58,0.35,0.95,27,28,33,14.43,5.04,21.94,66.22,2.67,25.01,0,0.0,Z1,RGB,Apply Fertilizer,0.0412716327510355,-0.3267696385255035,1
0.58,0.12,0.5,24,21,46,8.53,7.86,40.8,54.4,4.36,58.48,1,1.0,Z10,Multispectral,Irrigate,0.0055399368074853,-0.4157866072088708,0
0.6,0.52,0.5,42,19,71,32.19,7.8,35.24,48.93,7.67,52.54,1,0.0,Z2,Multispectral,Monitor,-0.0849167988693023,0.0376847562294005,1
0.58,0.35,0.35,25,13,55,20.85,7.88,39.64,62.37,2.62,68.26,1,1.0,Z2,RGB,Apply Pesticide,-0.1992822235529023,-0.3435502071099914,0
0.58,0.35,0.17,46,7,41,20.53,7.05,22.04,65.62,1.05,31.3,1,1.0,Z10,RGB,Monitor,-0.4567066561043822,-0.0403106677073052,1
0.58,0.35,0.52,23,25,52,31.24,7.49,19.42,93.63,6.73,90.46,0,1.0,Z1,RGB,Monitor,0.0336460472582952,-0.4459969014783174,0
0.58,0.35,0.05,49,7,46,22.48,6.44,39.53,25.16,1.47,97.69,1,1.0,Z9,RGB,Apply Fertilizer,-0.4957833840274057,0.0654912218986156,0
0.84,0.13,0.5,39,25,60,18.27,5.48,26.44,85.64,3.07,56.67,0,0.0,Z10,Multispectral,Apply Fertilizer,0.0326444215681639,-0.1398539731065653,1
0.3,0.55,0.5,46,20,29,28.56,5.82,22.56,72.94,5.92,55.43,1,1.0,Z10,Multispectral,Apply Pesticide,-0.2237717867578438,-0.018800091375481,0
0.37,0.56,0.5,33,15,28,18.14,5.35,30.63,83.08,1.59,33.17,1,0.0,Z9,Multispectral,Monitor,-0.2775429881661191,-0.2376635640035283,1
0.37,0.57,0.5,26,40,54,11.96,5.74,25.08,55.18,7.76,73.72,0,0.0,Z10,Multispectral,Apply Pesticide,0.3968907667578442,-0.3784193661577189,0
0.58,0.35,0.02,57,36,80,8.64,5.62,31.35,47.02,1.4,55.21,0,0.0,Z2,RGB,Apply Fertilizer,0.3371534779664524,0.2159932302208556,0
0.58,0.35,0.26,22,16,25,28.48,6.23,24.92,70.89,4.64,67.81,1,1.0,Z2,RGB,Monitor,-0.2869918928602349,-0.4225961396422431,0
0.58,0.35,0.08,50,32,25,18.51,6.56,20.71,60.04,4.03,82.73,0,0.0,Z6,RGB,Irrigate,0.0766107140021121,-0.0228342347482448,0
0.51,0.18,0.5,56,10,54,21.26,6.21,19.05,86.92,6.22,90.26,1,0.0,Z7,Multispectral,Irrigate,-0.3978908738342637,0.0103161237396219,0
0.58,0.35,0.55,26,37,36,19.47,7.06,22.24,65.64,9.46,57.32,0,0.0,Z1,RGB,Apply Fertilizer,0.293566508242336,-0.3826535707674426,1
0.87,0.13,0.5,74,10,47,18.07,7.37,31.45,38.31,8.36,74.46,1,1.0,Z1,Multispectral,Monitor,-0.4240916115193391,0.3793996331516133,0
0.87,0.32,0.5,28,23,70,8.41,5.06,23.48,50.17,9.45,20.43,1,0.0,Z1,Multispectral,Monitor,0.0170949297516038,-0.3211281051330995,1
0.27,0.25,0.5,31,39,60,17.25,5.2,40.57,93.81,7.61,27.32,0,0.0,Z6,Multispectral,Monitor,0.428546304307823,-0.1769813614727599,1
0.51,0.33,0.5,54,29,38,33.66,5.87,30.28,81.86,6.52,78.33,0,0.0,Z4,Multispectral,Apply Fertilizer,0.0096995322994187,0.1609226036036711,0
0.88,0.11,0.5,73,20,21,37.1,5.63,28.55,59.78,2.73,21.03,1,0.0,Z4,Multispectral,Monitor,-0.3071354511684224,0.5731136304544999,1
0.58,0.35,0.8,71,12,26,11.44,5.9,41.03,45.79,3.78,53.04,1,1.0,Z1,RGB,Apply Fertilizer,-0.4086043620255007,0.3627724003790559,1
0.27,0.49,0.5,62,7,66,9.63,7.49,24.32,78.83,6.14,78.81,1,0.0,Z9,Multispectral,Monitor,-0.3753913742410997,0.0636271779221591,0
0.6,0.47,0.5,54,31,30,19.55,5.67,37.63,62.88,2.5,37.45,0,1.0,Z7,Multispectral,Apply Fertilizer,0.0861714447713428,0.1916421960986856,1
0.58,0.35,0.8,41,42,83,13.76,6.44,32.47,31.5,6.21,88.7,0,1.0,Z4,RGB,Monitor,0.5028438650582426,-0.0489810030700536,0
0.6,0.14,0.5,39,28,31,34.69,6.05,26.55,53.25,1.52,46.45,0,0.0,Z3,Multispectral,Monitor,-0.0260422529292208,0.0067472098167059,1
0.58,0.35,0.91,38,8,50,14.66,5.39,35.43,60.51,7.6,95.25,1,1.0,Z6,RGB,Irrigate,-0.4249768278806998,-0.2423463174580279,0
0.85,0.53,0.5,69,31,35,33.63,6.64,28.4,43.05,6.3,99.17,0,0.0,Z7,Multispectral,Irrigate,0.0029523160217862,0.4108242577320398,0
0.44,0.4,0.5,39,10,22,37.06,7.89,33.94,84.93,9.87,79.31,1,0.0,Z5,Multispectral,Irrigate,-0.4302079599877511,-0.156190062740442,0
0.58,0.35,0.46,60,34,70,36.38,5.37,41.72,69.94,9.23,63.77,0,1.0,Z6,RGB,Monitor,0.204191493825028,0.3977009906974492,0
0.27,0.31,0.5,65,40,78,9.97,7.34,18.09,68.31,9.83,12.88,0,0.0,Z6,Multispectral,Irrigate,0.4621578909797158,0.2716855433231994,1
0.58,0.35,0.67,39,35,73,13.16,5.76,25.51,51.06,5.3,21.09,0,0.0,Z5,RGB,Apply Fertilizer,0.3177128809497905,-0.0609555125206012,1
0.58,0.35,0.93,53,42,85,11.06,6.71,22.04,89.23,6.46,36.79,0,0.0,Z5,RGB,Apply Fertilizer,0.552556914685891,0.0751718585960541,1
0.58,0.35,0.04,35,27,50,35.02,6.62,36.63,68.59,2.61,63.03,0,0.0,Z8,RGB,Irrigate,0.0461478519938177,-0.0508677250472924,0
0.43,0.45,0.5,29,39,54,30.98,7.93,30.87,69.62,5.13,83.9,0,0.0,Z5,Multispectral,Monitor,0.3919752542744746,-0.2263156153034977,0
0.8,0.6,0.5,57,41,78,16.39,5.9,32.89,53.13,9.72,72.71,0,1.0,Z2,Multispectral,Apply Fertilizer,0.4398447679837046,0.2032376029681999,0
0.34,0.25,0.5,22,22,28,30.83,6.62,26.59,43.86,3.09,55.26,1,1.0,Z6,Multispectral,Irrigate,-0.1412233889722887,-0.3264304940591044,1
0.58,0.35,0.79,68,24,25,8.88,6.82,35.44,83.68,5.74,25.1,1,0.0,Z6,RGB,Apply Pesticide,-0.0481826124416893,0.268649727523541,1
0.26,0.29,0.5,41,21,20,28.83,5.93,37.84,78.04,5.96,25.99,1,0.0,Z8,Multispectral,Apply Fertilizer,-0.1721764040117878,-0.013666387013447,1
0.58,0.35,0.81,19,16,39,35.81,6.75,31.19,60.86,5.27,20.79,1,1.0,Z10,RGB,Apply Pesticide,-0.2300348896743078,-0.3161423657926475,1
0.63,0.59,0.5,17,9,48,19.13,6.51,24.14,77.95,4.16,96.05,1,1.0,Z8,Multispectral,Apply Fertilizer,-0.3585701400420664,-0.6130507957613196,0
0.58,0.35,0.91,40,18,85,11.89,7.18,28.09,46.7,7.92,21.51,1,0.0,Z4,RGB,Apply Fertilizer,-0.0319943169855619,-0.0992511493275337,1
0.58,0.35,0.79,71,12,27,16.61,7.24,27.95,69.83,3.78,74.66,1,0.0,Z9,RGB,Apply Pesticide,-0.3964388688361419,0.2700799091997399,0
0.58,0.35,0.07,22,38,90,22.26,6.78,20.97,38.54,4.38,71.74,0,1.0,Z1,RGB,Apply Fertilizer,0.4286211167113226,-0.3198910512550063,0
0.58,0.35,0.39,44,23,89,10.97,5.34,24.62,56.29,4.9,36.66,1,0.0,Z3,RGB,Irrigate,0.0485222239254494,-0.0291198784212231,1
0.46,0.41,0.5,73,15,49,18.8,6.72,27.64,35.56,9.04,75.65,1,0.0,Z1,Multispectral,Monitor,-0.3203256938562937,0.3747715197720377,0
0.58,0.35,0.94,69,24,54,24.54,6.09,41.9,30.02,4.31,45.31,1,0.0,Z6,RGB,Irrigate,-0.0726767187210373,0.5109448473934504,1
0.58,0.35,0.43,47,29,92,8.57,5.19,27.94,64.88,3.13,94.23,0,1.0,Z9,RGB,Irrigate,0.1982210992619155,-0.0455184304567073,0
0.86,0.5,0.5,42,25,76,15.49,6.09,38.73,41.69,1.02,76.96,0,1.0,Z9,Multispectral,Apply Pesticide,0.0758821324841965,-0.011707111368062,0
0.58,0.35,0.38,25,33,81,20.74,6.84,25.48,67.68,8.36,57.48,0,0.0,Z9,RGB,Monitor,0.3179356483405605,-0.3297264682620838,0
0.88,0.33,0.5,65,5,22,23.27,7.77,40.18,82.14,1.03,26.2,1,0.0,Z5,Multispectral,Apply Pesticide,-0.5276067674420131,0.3021205597565496,1
0.74,0.21,0.5,70,9,39,20.97,5.68,40.06,67.03,3.86,58.01,1,0.0,Z5,Multispectral,Apply Pesticide,-0.4648146774746358,0.3851504245681182,1
0.58,0.35,1.0,55,27,56,35.78,5.49,18.82,37.25,1.99,85.24,0,1.0,Z5,RGB,Irrigate,-0.0646370981734302,0.2378547305333019,0
0.58,0.35,0.86,62,31,45,9.78,5.85,40.42,78.29,1.81,21.51,0,0.0,Z2,RGB,Monitor,0.171051522265902,0.2813036867776602,1
0.58,0.35,0.6,53,19,30,18.93,7.89,33.11,71.87,9.4,53.2,1,0.0,Z8,RGB,Irrigate,-0.162021128045589,0.027036515331849,0
